rank,name_with_owner,owner,repo_name,stars,merged_prs,closed_prs,total_prs
136,louislam/uptime-kuma,louislam,uptime-kuma,86265,1733,706,2439
137,microsoft/ML-For-Beginners,microsoft,ML-For-Beginners,85653,471,186,657
138,MunGell/awesome-for-beginners,MunGell,awesome-for-beginners,85279,482,1184,1666
139,modelcontextprotocol/servers,modelcontextprotocol,servers,85095,1198,1633,2831
140,astral-sh/uv,astral-sh,uv,84397,8973,966,9939
141,laravel/laravel,laravel,laravel,84167,1689,3450,5139
142,syncthing/syncthing,syncthing,syncthing,83582,2868,1818,4686
143,macrozheng/mall,macrozheng,mall,83543,1,152,153
144,realworld-apps/realworld,realworld-apps,realworld,83378,434,483,917
145,sherlock-project/sherlock,sherlock-project,sherlock,82955,743,602,1345
146,animate-css/animate.css,animate-css,animate.css,82511,315,586,901
147,DopplerHQ/awesome-interview-questions,DopplerHQ,awesome-interview-questions,82366,175,36,211
148,bregman-arie/devops-exercises,bregman-arie,devops-exercises,82244,309,116,425
149,zed-industries/zed,zed-industries,zed,81805,24067,3680,27747
150,tonsky/FiraCode,tonsky,FiraCode,81559,144,59,203
151,Developer-Y/cs-video-courses,Developer-Y,cs-video-courses,80994,265,55,320
152,localsend/localsend,localsend,localsend,80613,703,111,814
153,spring-projects/spring-boot,spring-projects,spring-boot,80564,100,7402,7502
154,vitejs/vite,vitejs,vite,80401,6244,1853,8097
155,openai/codex,openai,codex,80143,6253,3343,9596
156,junegunn/fzf,junegunn,fzf,79999,657,446,1103
157,infiniflow/ragflow,infiniflow,ragflow,79718,6033,713,6746
158,anuraghazra/github-readme-stats,anuraghazra,github-readme-stats,79273,1568,1300,2868
159,hoppscotch/hoppscotch,hoppscotch,hoppscotch,79109,2092,977,3069
160,vllm-project/vllm,vllm-project,vllm,79099,16260,6680,22940
161,karpathy/autoresearch,karpathy,autoresearch,79077,7,223,230
162,doocs/advanced-java,doocs,advanced-java,78969,91,51,142
163,netdata/netdata,netdata,netdata,78710,12062,1402,13464
164,Stirling-Tools/Stirling-PDF,Stirling-Tools,Stirling-PDF,78232,3406,819,4225
165,tensorflow/models,tensorflow,models,77667,2344,1345,3689
166,d2l-ai/d2l-zh,d2l-ai,d2l-zh,77661,1019,257,1276
167,swisskyrepo/PayloadsAllTheThings,swisskyrepo,PayloadsAllTheThings,77491,567,166,733
168,jesseduffield/lazygit,jesseduffield,lazygit,77466,1902,373,2275
169,coder/code-server,coder,code-server,77409,1674,482,2156
170,nomic-ai/gpt4all,nomic-ai,gpt4all,77356,938,222,1160
